name,png,uid,license,credit,tree_name
Viverridae,621471cc-9e39-4269-8460-ba1f47a1a0f7.1024.png,621471cc-9e39-4269-8460-ba1f47a1a0f7,http://creativecommons.org/publicdomain/zero/1.0/,Margot Michaud,Viverridae
Walliserops,600b0718-8a97-4064-aab2-9fea19875fc1.1024.png,600b0718-8a97-4064-aab2-9fea19875fc1,http://creativecommons.org/licenses/by-sa/3.0/,Moussa Direct Ltd. (photography) and T. Michael Keesey (vectorization),Walliserops
Salmoniformes,3a289fbc-abb4-4ba7-a1f5-468e5c0b55c8.1024.png,3a289fbc-abb4-4ba7-a1f5-468e5c0b55c8,http://creativecommons.org/licenses/by-sa/3.0/,NOAA Great Lakes Environmental Research Laboratory (illustration) and Timothy J. Bartley (silhouette),Salmoniformes
Otariidae,25a9fc4e-fd32-4b62-b404-42a1b60c6968.original.png,25a9fc4e-fd32-4b62-b404-42a1b60c6968,http://creativecommons.org/publicdomain/zero/1.0/,An Ignorant Atheist,Otariidae
Phocidae,10d73995-c697-405e-8ffd-fc9900d3a3cb.original.png,10d73995-c697-405e-8ffd-fc9900d3a3cb,http://creativecommons.org/publicdomain/zero/1.0/,An Ignorant Atheist,Phocidae
Leopardus jacobitus,12899ba0-9923-4feb-a7f9-758c3c7d5e13.1024.png,12899ba0-9923-4feb-a7f9-758c3c7d5e13,http://creativecommons.org/publicdomain/zero/1.0/,Steven Traver,Leopardus_jacobitus
Nasua,040da77c-f13e-4962-ab09-4e4d0474e204.original.png,040da77c-f13e-4962-ab09-4e4d0474e204,http://creativecommons.org/publicdomain/zero/1.0/,RS,Nasua
Lamniformes,42135d61-3549-45d2-841c-4147548b0fad.original.png,42135d61-3549-45d2-841c-4147548b0fad,http://creativecommons.org/publicdomain/zero/1.0/,An Ignorant Atheist,Lamniformes
Trochilidae,2bf1e800-5384-45cd-a533-ac940b8eadd6.1024.png,2bf1e800-5384-45cd-a533-ac940b8eadd6,http://creativecommons.org/publicdomain/zero/1.0/,Ferran Sayol,Trochilidae
Pycnogonidae,8ea770f7-2f99-4e3a-8cfa-7a9c662dedca.1024.png,8ea770f7-2f99-4e3a-8cfa-7a9c662dedca,http://creativecommons.org/publicdomain/mark/1.0/,Roule Jammes (vectorized by T. Michael Keesey),Pycnogonidae
Leporidae,dea688b6-9168-4e79-a106-366888148eb1.1024.png,dea688b6-9168-4e79-a106-366888148eb1,http://creativecommons.org/licenses/by/3.0/,Sarah Werning,Leporidae
Didelphis,96ed3343-20e6-4bea-90e3-06dd157d2447.original.png,96ed3343-20e6-4bea-90e3-06dd157d2447,http://creativecommons.org/publicdomain/zero/1.0/,RS,Didelphis
Hylobatidae,0174801d-15a6-4668-bfe0-4c421fbe51e8.1024.png,0174801d-15a6-4668-bfe0-4c421fbe51e8,http://creativecommons.org/publicdomain/zero/1.0/,NA,Hylobatidae
Loxodonta,47a8b95c-4981-4873-a87a-c51e99f34f63.original.png,47a8b95c-4981-4873-a87a-c51e99f34f63,http://creativecommons.org/publicdomain/zero/1.0/,An Ignorant Atheist,Loxodonta
Struthio,a8a6b7b8-eeea-4faa-992d-cdbd64edda3c.original.png,a8a6b7b8-eeea-4faa-992d-cdbd64edda3c,http://creativecommons.org/publicdomain/zero/1.0/,T. Michael Keesey (from a photo by Jamion Blackwell),Struthio
Passeridae,e55d26b9-d7f8-4603-b71f-ab4a4a536e56.1024.png,e55d26b9-d7f8-4603-b71f-ab4a4a536e56,http://creativecommons.org/publicdomain/zero/1.0/,Ferran Sayol,Passeridae
Crocodylia,8fe79f7c-833c-4b7d-8d32-9682e1b5d146.1024.png,8fe79f7c-833c-4b7d-8d32-9682e1b5d146,http://creativecommons.org/publicdomain/zero/1.0/,Becky Barnes,Crocodylia
formicoids,39180ed8-1568-4d7c-a910-502eacfe93fa.1024.png,39180ed8-1568-4d7c-a910-502eacfe93fa,http://creativecommons.org/publicdomain/zero/1.0/,Kamil S. Jaron,formicoids
Cetacea,e68270c1-3091-4aee-92ae-51341a40e94a.original.png,e68270c1-3091-4aee-92ae-51341a40e94a,http://creativecommons.org/publicdomain/zero/1.0/,Scott Hartman,Cetacea
Physeter macrocephalus,6579c20d-f8c2-46d8-8d23-5dd2571584bc.1024.png,6579c20d-f8c2-46d8-8d23-5dd2571584bc,http://creativecommons.org/licenses/by-sa/3.0/,Chris huh,Physeter_macrocephalus
Awaous,1c25a510-8779-4d70-bb41-f04228ade733.original.png,1c25a510-8779-4d70-bb41-f04228ade733,http://creativecommons.org/publicdomain/zero/1.0/,NA,Awaous
Enteropneusta,369c9a71-fea9-4b5c-8718-07735eaba5fc.original.png,369c9a71-fea9-4b5c-8718-07735eaba5fc,http://creativecommons.org/licenses/by-sa/3.0/,Kai Zhou,Enteropneusta
Annelida,a44247f4-e61f-45a5-b22e-d246ee351f23.original.png,a44247f4-e61f-45a5-b22e-d246ee351f23,http://creativecommons.org/publicdomain/zero/1.0/,RS,Annelida
Alligatoridae,7a18bb0b-2583-462b-ab94-16f3404073c0.original.png,7a18bb0b-2583-462b-ab94-16f3404073c0,http://creativecommons.org/publicdomain/zero/1.0/,An Ignorant Atheist,Alligatoridae
Scaptotrigona,cc3278ac-31b9-44f1-bf93-5bcd5f45b2ff.1024.png,cc3278ac-31b9-44f1-bf93-5bcd5f45b2ff,http://creativecommons.org/licenses/by-nc/3.0/,Meliponicultor Itaymbere,Scaptotrigona
Puma concolor,87c44856-307d-4d1a-84fd-ec54f8591f1a.1024.png,87c44856-307d-4d1a-84fd-ec54f8591f1a,http://creativecommons.org/publicdomain/zero/1.0/,Margot Michaud,Puma_concolor
Dunkleosteus,40de8560-4b47-4707-823d-244e2713bbde.original.png,40de8560-4b47-4707-823d-244e2713bbde,http://creativecommons.org/licenses/by-nc-sa/3.0/,Maija Karala,Dunkleosteus
Metriacanthosauridae,3ee39f8e-9216-4fa4-abba-1d1d024b2c99.original.png,3ee39f8e-9216-4fa4-abba-1d1d024b2c99,http://creativecommons.org/publicdomain/zero/1.0/,James Neenan,Metriacanthosauridae
Pan,37e8f97f-a9f5-42b1-a6c4-b789001c0d6c.original.png,37e8f97f-a9f5-42b1-a6c4-b789001c0d6c,http://creativecommons.org/publicdomain/zero/1.0/,An Ignorant Atheist,Pan
Anisoptera,2894776f-a2cf-4475-b13d-6d8ea1607ea4.1024.png,2894776f-a2cf-4475-b13d-6d8ea1607ea4,http://creativecommons.org/publicdomain/zero/1.0/,Christoph Schomburg,Anisoptera
Threskiornithidae,5a49c7e0-17ff-454f-8e88-33dc3080b80e.original.png,5a49c7e0-17ff-454f-8e88-33dc3080b80e,http://creativecommons.org/publicdomain/zero/1.0/,An Ignorant Atheist,Threskiornithidae
Cytota,4160529b-b217-446a-a9ca-a7d77465178c.original.png,4160529b-b217-446a-a9ca-a7d77465178c,http://creativecommons.org/publicdomain/zero/1.0/,NA,Cytota
Scyphozoa,ef63437d-d6f4-4583-9d75-a8c9b19a203d.1024.png,ef63437d-d6f4-4583-9d75-a8c9b19a203d,http://creativecommons.org/licenses/by-nc/3.0/,Michelle Site,Scyphozoa
Medusozoa,839b9df7-c97f-444a-a611-95609e950960.original.png,839b9df7-c97f-444a-a611-95609e950960,http://creativecommons.org/publicdomain/mark/1.0/,Walker Pett,Medusozoa
Pterodactyloidea,186befc5-b9d4-454e-8fa2-6d631ce4daa2.original.png,186befc5-b9d4-454e-8fa2-6d631ce4daa2,http://creativecommons.org/licenses/by-nc-sa/3.0/,Matt Martyniuk,Pterodactyloidea
Limulidae,7ac4f67e-39ab-4d57-b788-09a22b8b5a0e.1024.png,7ac4f67e-39ab-4d57-b788-09a22b8b5a0e,http://creativecommons.org/licenses/by-nc/3.0/,Michelle Site,Limulidae
Geospiza,19f3f55c-f942-464b-a61f-27794b9000f7.original.png,19f3f55c-f942-464b-a61f-27794b9000f7,http://creativecommons.org/publicdomain/zero/1.0/,Ryan Cupo,Geospiza
Mephitis,ffe11632-89a0-4f5e-87a9-60fc1ff595ac.1024.png,ffe11632-89a0-4f5e-87a9-60fc1ff595ac,http://creativecommons.org/publicdomain/mark/1.0/,NA,Mephitis
Megachilidae,070c78bc-e075-4098-a66b-fca2f02680ea.original.png,070c78bc-e075-4098-a66b-fca2f02680ea,http://creativecommons.org/publicdomain/mark/1.0/,Thomas Hegna,Megachilidae
Betula pendula,5c6ae9a1-1405-4f81-b4c1-c169faef475e.1024.png,5c6ae9a1-1405-4f81-b4c1-c169faef475e,http://creativecommons.org/publicdomain/zero/1.0/,Ferran Sayol,Betula_pendula
Calliostoma,79c686fe-45f1-4882-b02d-64135f125d2d.1024.png,79c686fe-45f1-4882-b02d-64135f125d2d,http://creativecommons.org/publicdomain/zero/1.0/,NA,Calliostoma
Sternorrhyncha,143b2f73-4cdd-4eb9-80ba-f72a9b273c1a.original.png,143b2f73-4cdd-4eb9-80ba-f72a9b273c1a,http://creativecommons.org/licenses/by-nc-sa/3.0/,Joseph Hughes,Sternorrhyncha
Heteroptera,07cdd45b-974a-4c31-8bbd-5daa8f9e01e1.original.png,07cdd45b-974a-4c31-8bbd-5daa8f9e01e1,http://creativecommons.org/licenses/by-nc-sa/3.0/,Joseph Hughes,Heteroptera
Pentatomidae,e34da4f7-a8b9-4f97-af07-b60425e83f0b.1024.png,e34da4f7-a8b9-4f97-af07-b60425e83f0b,http://creativecommons.org/licenses/by/3.0/,Dave Angelini,Pentatomidae
Thysanoptera,4e345f2e-731f-46a7-965a-12f42dbe782f.original.png,4e345f2e-731f-46a7-965a-12f42dbe782f,http://creativecommons.org/licenses/by-nc-sa/3.0/,Joseph Hughes,Thysanoptera
Oniscidea,ec09dfeb-114b-48d8-86c8-3ccd02e90b54.1024.png,ec09dfeb-114b-48d8-86c8-3ccd02e90b54,http://creativecommons.org/licenses/by/3.0/,Javier Luque,Oniscidea
Anthozoa,23e078d5-e7d3-42e6-b747-16345db5379c.1024.png,23e078d5-e7d3-42e6-b747-16345db5379c,http://creativecommons.org/publicdomain/mark/1.0/,NA,Anthozoa
Octocorallia,10a93e84-d401-4dce-a8db-3c1d152954ef.original.png,10a93e84-d401-4dce-a8db-3c1d152954ef,http://creativecommons.org/licenses/by/3.0/,Qiang Ou,Octocorallia
Lobata,27a08157-6943-4faf-9aa3-980249e5c376.1024.png,27a08157-6943-4faf-9aa3-980249e5c376,http://creativecommons.org/publicdomain/zero/1.0/,S.Martini,Lobata
Canis familiaris familiaris,3cb6eeda-3730-4c4d-a8eb-50ba5142bfeb.1024.png,3cb6eeda-3730-4c4d-a8eb-50ba5142bfeb,http://creativecommons.org/publicdomain/zero/1.0/,ArtFavor & annaleeblysse,Canis_familiaris_familiaris
Urodela,f00121ab-a5c5-4bb4-8b88-51bd16122916.1024.png,f00121ab-a5c5-4bb4-8b88-51bd16122916,http://creativecommons.org/publicdomain/zero/1.0/,Mattia Menchetti / Yan Wong,Urodela
Rhea,be7c6825-f08b-4088-9ae5-e9e748c511f3.original.png,be7c6825-f08b-4088-9ae5-e9e748c511f3,http://creativecommons.org/publicdomain/zero/1.0/,An Ignorant Atheist,Rhea
Trochidae,af3b0a39-4ba9-4134-800e-d181a7288689.1024.png,af3b0a39-4ba9-4134-800e-d181a7288689,http://creativecommons.org/publicdomain/zero/1.0/,Tauana J. Cunha,Trochidae
Galeommatidae,9f6baa5c-7d56-46fd-b4d8-2de349898af0.original.png,9f6baa5c-7d56-46fd-b4d8-2de349898af0,http://creativecommons.org/publicdomain/zero/1.0/,Scott Hartman,Galeommatidae
Australopithecus,fc7ddcd8-94f4-4fb3-89a0-612c7b9cc0cd.1024.png,fc7ddcd8-94f4-4fb3-89a0-612c7b9cc0cd,http://creativecommons.org/publicdomain/zero/1.0/,T. Michael Keesey,Australopithecus
Muridae,ba1d31e7-2679-418b-9df6-71dbbbac78d9.original.png,ba1d31e7-2679-418b-9df6-71dbbbac78d9,http://creativecommons.org/publicdomain/zero/1.0/,An Ignorant Atheist,Muridae
Pinus,1b329337-8f8b-4380-8aae-23d50e0db14f.1024.png,1b329337-8f8b-4380-8aae-23d50e0db14f,http://creativecommons.org/publicdomain/zero/1.0/,NA,Pinus
Phanerognatha,a3603532-ec70-4079-b42f-f6d8d3281544.original.png,a3603532-ec70-4079-b42f-f6d8d3281544,http://creativecommons.org/publicdomain/mark/1.0/,Melissa Ingala,Phanerognatha
Rotifera,4afa1e37-fbc6-4d60-a8e1-2ec4ee0efbb2.original.png,4afa1e37-fbc6-4d60-a8e1-2ec4ee0efbb2,http://creativecommons.org/publicdomain/zero/1.0/,Fernando Carezzano,Rotifera
Eurotatoria,3042a73d-353d-4191-811f-9b12f57c958c.original.png,3042a73d-353d-4191-811f-9b12f57c958c,http://creativecommons.org/publicdomain/zero/1.0/,Cristina Guijarro,Eurotatoria
Falco,bc6dd00c-d644-4319-bd6a-0a68f9f284c3.1024.png,bc6dd00c-d644-4319-bd6a-0a68f9f284c3,http://creativecommons.org/licenses/by/3.0/,Shyamal,Falco
Sigmurethra,c79cd52f-5d57-431d-ac5f-9f80307ff110.1024.png,c79cd52f-5d57-431d-ac5f-9f80307ff110,http://creativecommons.org/licenses/by-nc/3.0/,Michelle Site,Sigmurethra
Turdidae,09cc9689-1e5e-4cbb-8d85-c65fa15a0521.1024.png,09cc9689-1e5e-4cbb-8d85-c65fa15a0521,http://creativecommons.org/licenses/by-nc/3.0/,Michelle Site,Turdidae
Myliobatis,68eb310c-cbe5-404f-a9a9-dbffb8330eea.original.png,68eb310c-cbe5-404f-a9a9-dbffb8330eea,http://creativecommons.org/publicdomain/zero/1.0/,M Kolmann,Myliobatis
Protobranchia,d92d2313-359a-4649-9cb8-5c4d84474f4b.original.png,d92d2313-359a-4649-9cb8-5c4d84474f4b,http://creativecommons.org/publicdomain/zero/1.0/,Scott Hartman,Protobranchia
Columbidae,ab808bea-697e-4cb3-92e6-28661078f682.original.png,ab808bea-697e-4cb3-92e6-28661078f682,http://creativecommons.org/publicdomain/zero/1.0/,RS,Columbidae
Nuculanidae,4571fc18-fa8e-4da4-93ea-21c1d9ecb210.original.png,4571fc18-fa8e-4da4-93ea-21c1d9ecb210,http://creativecommons.org/publicdomain/zero/1.0/,Katie S. Collins,Nuculanidae
Muricidae,f2c24e9a-382c-4f73-8692-b7251e630d9d.original.png,f2c24e9a-382c-4f73-8692-b7251e630d9d,http://creativecommons.org/licenses/by/3.0/,Karla Martinez,Muricidae
